"Indicador","Ano","UF","Numerador - Obitos em menores de 5 anos estimados","Denominador - Nascidos vivos estimados","Fator"
"MRT.1.05",2000,11,1404.0,35005.0,1000
"MRT.1.05",2000,12,819.0,20249.0,1000
"MRT.1.05",2000,13,3899.0,88258.0,1000
"MRT.1.05",2000,14,323.0,11185.0,1000
"MRT.1.05",2000,15,6229.0,174996.0,1000
"MRT.1.05",2000,16,587.0,17493.0,1000
"MRT.1.05",2000,17,1409.0,29910.0,1000
"MRT.1.05",2000,21,7681.0,162414.0,1000
"MRT.1.05",2000,22,3009.0,70432.0,1000
"MRT.1.05",2000,23,6963.0,169208.0,1000
"MRT.1.05",2000,24,2894.0,61939.0,1000
"MRT.1.05",2000,25,4006.0,76117.0,1000
"MRT.1.05",2000,26,8463.0,180593.0,1000
"MRT.1.05",2000,27,4256.0,74117.0,1000
"MRT.1.05",2000,28,2087.0,44343.0,1000
"MRT.1.05",2000,29,13657.0,288692.0,1000
"MRT.1.05",2000,31,10453.0,343218.0,1000
"MRT.1.05",2000,32,1302.0,61065.0,1000
"MRT.1.05",2000,33,5788.0,260843.0,1000
"MRT.1.05",2000,35,13692.0,696519.0,1000
"MRT.1.05",2000,41,4115.0,185328.0,1000
"MRT.1.05",2000,42,1721.0,95451.0,1000
"MRT.1.05",2000,43,3099.0,179120.0,1000
"MRT.1.05",2000,50,1172.0,43730.0,1000
"MRT.1.05",2000,51,2005.0,56108.0,1000
"MRT.1.05",2000,52,2824.0,98329.0,1000
"MRT.1.05",2000,53,794.0,48203.0,1000
"MRT.1.05",2001,11,1315.0,34072.0,1000
"MRT.1.05",2001,12,621.0,19647.0,1000
"MRT.1.05",2001,13,3582.0,82596.0,1000
"MRT.1.05",2001,14,279.0,10981.0,1000
"MRT.1.05",2001,15,6282.0,174848.0,1000
"MRT.1.05",2001,16,622.0,17223.0,1000
"MRT.1.05",2001,17,1303.0,28878.0,1000
"MRT.1.05",2001,21,7773.0,140955.0,1000
"MRT.1.05",2001,22,2880.0,68175.0,1000
"MRT.1.05",2001,23,6065.0,161886.0,1000
"MRT.1.05",2001,24,2722.0,57592.0,1000
"MRT.1.05",2001,25,3182.0,74782.0,1000
"MRT.1.05",2001,26,7583.0,173804.0,1000
"MRT.1.05",2001,27,4203.0,73910.0,1000
"MRT.1.05",2001,28,2079.0,40667.0,1000
"MRT.1.05",2001,29,12049.0,270377.0,1000
"MRT.1.05",2001,31,8966.0,323578.0,1000
"MRT.1.05",2001,32,1135.0,57953.0,1000
"MRT.1.05",2001,33,5167.0,243974.0,1000
"MRT.1.05",2001,35,12000.0,650710.0,1000
"MRT.1.05",2001,41,3389.0,169743.0,1000
"MRT.1.05",2001,42,1622.0,87916.0,1000
"MRT.1.05",2001,43,2967.0,162477.0,1000
"MRT.1.05",2001,50,1195.0,41133.0,1000
"MRT.1.05",2001,51,1845.0,53501.0,1000
"MRT.1.05",2001,52,2703.0,99439.0,1000
"MRT.1.05",2001,53,822.0,47098.0,1000
"MRT.1.05",2002,11,1172.0,31252.0,1000
"MRT.1.05",2002,12,619.0,20175.0,1000
"MRT.1.05",2002,13,3322.0,81784.0,1000
"MRT.1.05",2002,14,207.0,10245.0,1000
"MRT.1.05",2002,15,5803.0,168944.0,1000
"MRT.1.05",2002,16,578.0,16768.0,1000
"MRT.1.05",2002,17,1193.0,28808.0,1000
"MRT.1.05",2002,21,7757.0,147325.0,1000
"MRT.1.05",2002,22,2490.0,63393.0,1000
"MRT.1.05",2002,23,6033.0,156621.0,1000
"MRT.1.05",2002,24,2502.0,57279.0,1000
"MRT.1.05",2002,25,3041.0,71423.0,1000
"MRT.1.05",2002,26,6487.0,164507.0,1000
"MRT.1.05",2002,27,3508.0,70887.0,1000
"MRT.1.05",2002,28,1736.0,38585.0,1000
"MRT.1.05",2002,29,10846.0,269144.0,1000
"MRT.1.05",2002,31,8393.0,309655.0,1000
"MRT.1.05",2002,32,1089.0,56494.0,1000
"MRT.1.05",2002,33,4890.0,233779.0,1000
"MRT.1.05",2002,35,11242.0,634951.0,1000
"MRT.1.05",2002,41,3349.0,167039.0,1000
"MRT.1.05",2002,42,1550.0,86075.0,1000
"MRT.1.05",2002,43,2934.0,156428.0,1000
"MRT.1.05",2002,50,1026.0,41129.0,1000
"MRT.1.05",2002,51,1698.0,53596.0,1000
"MRT.1.05",2002,52,2639.0,99592.0,1000
"MRT.1.05",2002,53,734.0,46003.0,1000
"MRT.1.05",2003,11,1075.0,30774.0,1000
"MRT.1.05",2003,12,536.0,19381.0,1000
"MRT.1.05",2003,13,3041.0,78705.0,1000
"MRT.1.05",2003,14,274.0,11533.0,1000
"MRT.1.05",2003,15,5992.0,172748.0,1000
"MRT.1.05",2003,16,518.0,17229.0,1000
"MRT.1.05",2003,17,1052.0,29087.0,1000
"MRT.1.05",2003,21,6812.0,157453.0,1000
"MRT.1.05",2003,22,2373.0,59419.0,1000
"MRT.1.05",2003,23,5816.0,149491.0,1000
"MRT.1.05",2003,24,2054.0,55541.0,1000
"MRT.1.05",2003,25,2823.0,69715.0,1000
"MRT.1.05",2003,26,6235.0,166907.0,1000
"MRT.1.05",2003,27,2958.0,69481.0,1000
"MRT.1.05",2003,28,1489.0,39179.0,1000
"MRT.1.05",2003,29,10250.0,264504.0,1000
"MRT.1.05",2003,31,7809.0,305371.0,1000
"MRT.1.05",2003,32,996.0,56647.0,1000
"MRT.1.05",2003,33,4822.0,233803.0,1000
"MRT.1.05",2003,35,10855.0,621328.0,1000
"MRT.1.05",2003,41,2973.0,156806.0,1000
"MRT.1.05",2003,42,1430.0,84201.0,1000
"MRT.1.05",2003,43,2771.0,149861.0,1000
"MRT.1.05",2003,50,1014.0,42180.0,1000
"MRT.1.05",2003,51,1629.0,54077.0,1000
"MRT.1.05",2003,52,2572.0,98897.0,1000
"MRT.1.05",2003,53,745.0,46301.0,1000
"MRT.1.05",2004,11,1013.0,29873.0,1000
"MRT.1.05",2004,12,584.0,19095.0,1000
"MRT.1.05",2004,13,2640.0,77967.0,1000
"MRT.1.05",2004,14,301.0,11010.0,1000
"MRT.1.05",2004,15,5850.0,167211.0,1000
"MRT.1.05",2004,16,505.0,16089.0,1000
"MRT.1.05",2004,17,984.0,27881.0,1000
"MRT.1.05",2004,21,5818.0,150441.0,1000
"MRT.1.05",2004,22,2043.0,59963.0,1000
"MRT.1.05",2004,23,4943.0,145640.0,1000
"MRT.1.05",2004,24,1892.0,54982.0,1000
"MRT.1.05",2004,25,2320.0,67760.0,1000
"MRT.1.05",2004,26,4985.0,159114.0,1000
"MRT.1.05",2004,27,2284.0,65002.0,1000
"MRT.1.05",2004,28,1302.0,37264.0,1000
"MRT.1.05",2004,29,9261.0,257068.0,1000
"MRT.1.05",2004,31,7207.0,295010.0,1000
"MRT.1.05",2004,32,959.0,55467.0,1000
"MRT.1.05",2004,33,4605.0,231432.0,1000
"MRT.1.05",2004,35,10471.0,629973.0,1000
"MRT.1.05",2004,41,2974.0,157961.0,1000
"MRT.1.05",2004,42,1355.0,87239.0,1000
"MRT.1.05",2004,43,2666.0,154681.0,1000
"MRT.1.05",2004,50,1092.0,42136.0,1000
"MRT.1.05",2004,51,1618.0,55828.0,1000
